,tweet
2221,"['oh', 'no', 'oprah', 'jump']"
2222,"['sleeping', 'sleeping', 'but', 'know', 'i', 'kid']"
2223,"['it', 's', 'cause', 'reason', 'assume']"
2224,"['thank', 'much', 'that', 'nice', 'i', 'happy', 'hear', 'voice', 'you', 've', 'started', 'good', 'xo']"
2225,"['moment', 'truth', 'im', 'nervous', 'her']"
2226,"['sure', 'word', 'poo', 'ball', 'underbelly', 'doe', 'suck', 'ball', 'i', 'gave', 'wk']"
2227,"['ooh', 'good', 'thank', 'head', 'bro']"
2228,"['i', 'agree', '_crazy', 'it', 'is', 'worth', 'block', 'let', 'twitter', 'police', 'know', 'harrassment']"
2229,"['need', 'job', 'badly']"
2230,"['wow', 'that', 'difficult']"
2231,"['think', 'studying', 'started', 'taking', 'toll']"
2232,"['couple', 'hour', 'ago', 'ive', 'got', 'sun', 'burn', 'uncomfort']"
2233,"['missing', 'baby', 'duck']"
2234,"['hour', 'refusal', 'realisation', 'tomorrow', 's', 'gig', 'brixton', 'postponed', 'only', 'looking', 'fwd', 'monthsish']"
2235,"['i', 'hate', 'dryer']"
2236,"['_lambert', 'fan', 'outside', 'u', 'wish', 'vote', 'adam', 'too']"
2237,"['slowly', 'gettin', 'follower', 'vry', 'slowli']"
2238,"['i', 'really', 'gone', 'chiropractor', 'week', 'and', 'today', 'neck', 'hurt', 'bad']"
2239,"['watching', 'supernatural', 'boy', 'hunt', 'day', '3', 'haha']"
2240,"['very', 'excited', 'camp', 'load', 'people', 'are', 'not', 'i', 'thrilled', 'fact', 'sleep', 'tent', 'roll', 'mud']"
2241,"['i', 'gonna', 'day', 'just', 'i', 'am', 'stayin', 'til']"
2242,"['yep', 'night', 'again']"
2243,"['wanted', 'newish', 'song', 'teacher', 'agreed', 'old', 'grumpy', 'doe', 'not', 'like', 'happy', 'haha']"
2244,"['i', 'wish', 'i', 'wa', 'well', 'past', 'hour', 'i', 'been', 'but', 'i', 'bed', 'proper', 'migraine']"
2245,"['now', 'teardrop']"
2246,"['the', 'time', 'germany', 'went', 'fast', 'day', 'left', 'hopefully', 'i', 'soon']"
2247,"['i', 'am', 'trying', 'tag', 'picture', 'facebook', 'tag', 'lol']"
2248,"['done', 'h33mn', 'bpm', 'feeling', 'great', 'fatigue', 'spe']"
2249,"['wanna', 'vivid', 'light', 'walk']"
2250,"['rewarding', 'dinner', 'american', 'dream', 'pizza', 'rooftop', 'terrace', 'perfection', 'got', 'page', 'prospectus']"
2251,"['seriously', 'neeed', 'studi']"
2252,"['wish', 'i', 'hear', 'mint', 'condition', 'tommorow', 'night']"
2253,"['feeling', 'good', 'win', 'it', 'nice', 'softball', 'champ', 'bring', 'season']"
2254,"['good', 'morning', 'driving', 'work']"
2255,"['great', 'time', 'flag', 'yesterday', 'summer', 'friend', 'spent', 'night', 'night', 'left', 'i', 'm', 'bored']"
2256,"['wow', 'i', 'need', 'fun', 'tonight']"
2257,"['know', 'twitter']"
2258,"['dee', 'mack', 'talking', 'baby', 'she', 'is', 'grown', 'up']"
2259,"['it', 's', 'soupy', 'soup', 'time', 'today', 'heinz', 'cream', 'chicken', 'mushroom', 'yum', 'bbl']"
2260,"['boo', 'didnt', 'answer', 'text']"
2261,"['where', 'peep', 'and', 'boyfriend', 'in', 'miami']"
2262,"['leaving', 'angry', 'teethed', 'pulled']"
2263,"['_pearlman', 'mow', 'love', 'mow']"
2264,"['harry', 'baked', 'love', 'cassie', 'but', 'you', 're', 'not', 'online']"
2265,"['dude', 'tried', 'vegetarian', 'thing', 'lasted', 'month', 'good', 'luck', 'going', 'vegan', 'intense', 'good', 'though']"
2266,"['true', 'sad', 'say', 'i', 'am', 'glad', 'you', 'you', 'will', 'support', 'group']"
2267,"['i', 'am', 'going', 'miss', 'miss', 'suhana']"
2268,"['i', 'need', 'shopping', 'you', 'but', 'i', 'need', 'save', 'money']"
2269,"['know', 'exactly', 'right', 'thing', 'say', 'thanks']"
2270,"['saturday', 'night', 'live', 'minute', 'jimmy', 'it']"
2271,"['sure', 'yur', 'mother', 'tell', 'love', 'her', 'tell', 'i', 'love', 'bringin', 'world']"
2272,"['still', 'nw', 'trending', 'topic']"
2273,"['recorded', 'new', 'song', 'today', 'u', 'wont', 'hear', 'long', 'time', 'thooo', 'play', 'show', 'tho', 'comeeeee']"
2274,"['ew', 'suicide', 'mid', 'school', 'mix', 'like', 'soda', 'together', 'drink', 'it', 'think', 'remember', 'enjoying', 'it', 'too']"
2275,"['have', 'fun', 'tonight', 'wish', 'i']"
2276,"['just', 'near', 'hive', 'they', 'll', 'tame', 'you']"
2277,"['i', 'know', 'i', 'love', 'nicholas', 'braun', 'i', 'think', 'he', 'will', 'okay', 'cameron', 'i', 'do', 'not', 'wanna']"
2278,"['em', 'baby', 'start', 'kindergarten', 'what', 'crazy', 'summer', 'it', 'is', 'going', 'be']"
2279,"['lucky', 'i', 'cannot', 'tonight']"
2280,"['_emily', 'wish', 'hear', 'that']"
2281,"['hated', 'word', 'see', 'monday']"
2282,"['i', 'hope', 'it', 'will', 'quickly', 'possible']"
2283,"['it', 's', 'sad', 'day', 'beer', 'drinking', 'movie', 'goer', 'the', 'speakeasy', 'theat']"
2284,"['i', 'pain', 'i', 'do', 'not', 'feel', 'good', 'couldn', 't', 'eat', 'dinn']"
2285,"['you', 're', 'right', 'i', 'am', 'i', 'have', 'heard', 'song', 'tim']"
2286,"['home', 'spending', 'day', 'catching', 'old', 'p']"
2287,"['people', 'cruel', 'sometimes', 'i', 'cannot', 'imagine', 'star']"
2288,"['whoa', 'sack', 'chasing', 'whore', 'soo', 'character', 'that', 'bring', 'sweet', 'superman']"
2289,"['logically', 'yes', 'though', 'motorway', 'stop']"
2290,"['but', 'i', 'tweet']"
2291,"['sick', 'home', 'bored', 'i', 'want', 'better', 'i', 'enjoy', 'college', 'grad']"
2292,"['philippine', 'tour', 'please', 'please', 'please']"
2293,"['symphonic', 'i']"
2294,"['ahh', 'yay', 'you', 'are', 'gonna', 'it']"
2295,"['too', 'food', 'today', 's', 'company', 'gill', 'out', 'want', 'home', 'lay', 'sun', 'instead', 'dark', 'prob']"
2296,"['awww', 'didnt', 'till', 'edwin', 'left', 'knew', 'wanted', 'some', 'forsure', 'tomorrow', 'i', 'll', 'u', 'new', 'batch']"
2297,"['kinda', 'headache']"
2298,"['awe', 'thank', 'jon']"
2299,"['i', 'would', 'love', 'work', 'you', 'tell', 'ur', 'friend', 'follow', 'me']"
2300,"['today', 'line', 'up', 'work', 'o', 'bluetooth', 'app', 'brief', 'stint', 'uniservity', 'i', 'time', 'cs4', 'tutorial', 'busy', 'bank', 'holiday']"
2301,"['omg', 'watching', 'hollie', 'steel', 's', 'cry', 'pain']"
2302,"['made', 'coffee', 'cake', 'mom']"
2303,"['that', 'suck', 'print', 'sorri']"
2304,"['it', 'sunny', 'outside', 'i', 'play']"
2305,"['achieving', 'new', 'appreciation', 'xml', 'build', 'script', 'painful', 'cumbersom']"
2306,"['finished', 'cleaning', 'desk', 'least', 'office', 'looking', 'empty', 'almost', 'time', 'car', '2']"
2307,"['weather', 'suck', 'it', 's', 'raining', 'again']"
2308,"['work', 'soonnnnnn', 'it', 'is', 'looking', 'rly', 'dead', 'today']"
2309,"['today', 'mother', 'day', 'little', 'boy', 'hope', 'you', 'are', 'having', 'beautiful', 'mother', 'day']"
2310,"['dude', 'you', 're', 'hax', '0r', '1', 'you', 'final', 'cut', 'pro', 'tell', 'st']"
2311,"['know', 'mom', 'going', 'monday', 'changed', 'i', 'm', 'upset']"
2312,"['happy', 'morning', 'sunshine', 'it', 's', 'may', 'i', 'am', 'driving', 'window', 'singing', 'smiling', 'wearing', 'shoe', 'i', 'm', 'kirsten']"
2313,"['the', 'vogue', 'model', 'miss', 'rachel', 'merh']"
2314,"['gotta', 'sleep', 'work']"
2315,"['trent', 'reznor', 'liddle', 'beotch', 'doesnt', 'way', 'titl']"
2316,"['wow', 'some', 'person', 'u', 'are']"
2317,"['i', 'miss', 'peanut', 'galleri']"
2318,"['watching', 'alien', 'boobie', 'craig', 'rise', 'house', 'early', 'bedtime', 'grown', 'up']"
2319,"['i', 'clicked', 'check', 'picture', 'angelina', 'went', 'spam', 'site', 'ordering', 'check', 'figur']"
2320,"['blake', 'sea', 'water', 'sandbox', 'a', 'la', 'cordova', 'cannot', 'rez', 'object', 'autoreturn', 'min']"
2321,"['emily', 'tonight', 'xd', 'work', 'experience', 'over', 'jen', 'i', 'am', 'going', 'miss', 'seeing', 'like', 'everyday']"
2322,"['i', 'feel', 'slightly', 'sick']"
2323,"['okay', 'man', 'hook', 'hand', 'kinda', 'freaking', 'right', 'now']"
2324,"['i', 'miss', 'too', 'mojokins', 'i', 'there', 'long', 'comment', 'will', 'weekend']"
2325,"['lebron', 'maybe', 'mvp', 'year', 'i', 'like', 'lakers', 'win', 'nba', 'titl']"
2326,"['can', 't', 'that', 'i']"
2327,"['sigh', 'it', 'sad', 'lonely', 'profession']"
2328,"['congrats', 'you', 're', 'person', 'i', 've', 'heard', 'read', 'today']"
2329,"['cherry', 'italian', 'ice', 'fave', 'i', 'want', 'local', 'ritas', 'twitter', 'they', 'll', 'send', 'daily', 'flavor']"
2330,"['cute', 'kitti']"
2331,"['heyya', 'guy', 'know', 'formula', 'create', 'sudoku', 'please', 'help']"
2332,"['it', 's', 'pretty', 'good', 'actually', 'a', 'lame', 'episode', 'good', 'give', 'try']"
2333,"['watchin', 'family', 'guy']"
2334,"['oh', 'fair', 'thats', 'hour']"
2335,"['anytime', 'love', 'you', 'looked', 'beautiful', 'next', 'time', 'nyc', 'hopefully', 'link', 'up', 'enjoy', 'even']"
2336,"['cake', 'mi', 'madre', 'i', 'm', 'goooooddd']"
2337,"['i', 'am', 'going', 'hike', 'today']"
2338,"['can', 'turn', 'time', 'did', 'not', 'hurt', 'knee', 'bad', 'come', 'ignored']"
2339,"['i', 'shower', 'ffaf', 'distraaaaact']"
2340,"['im', 'cleaning', 'listening', 'fiona', 'apple', 'birthday', 'party', 'believe', 'im']"
2341,"['ah', 'nice', 'bike', 'commute', 'day', 'what', 'google', 'sez', 'called', 'quadriceps', 'literally', 'screaming', 'gah']"
2342,"['mother', 's', 'day', 'good']"
2343,"['want', 'woosoo', 'like', 'plz', 'gant', 'wait', 'knowing', 'she', 'is', 'close', 'driveing', 'nutt']"
2344,"['aww', 'noooo', 'doe', 'not', 'sound', 'great']"
2345,"['early', 'morning', 'r', 'b']"
2346,"['i', 'twitter', 'driving', 'iphone', 'keypad', 'suck', 'driving', 'typ']"
2347,"['she', 'doe', 'not', 'need', 'darn', 'watching', 'language', 'thing', 'stop', 'i', 'mapped', 'u', 'u', 'live', 'booni']"
2348,"['missing', 'much', 'work', 'cannot', 'spend', 'time', 'paid', 'lol']"
2349,"['lol', 'gross', 'they', 're', 'gross']"
2350,"['sorry', 'blokey', 'hr', 'later', 'i', 'm', 'holding', 'ur', 'fluffy', 'towel', 'dash', 'hope', 'u', 'mean', 'dry', 'ur', 'self']"
2351,"['feeling', 'pretty', 'good', 'morning', 'let', 'hope', 'last', 'day']"
2352,['radio']
2353,"['tummy', 'hurt']"
2354,"['back', 'london', 'now', 'catching', 'tv', 'sleeping', 'day']"
2355,"['make', 'sense', 'greatfirewallofchina', 'org', 'site', 'test', 'site', 'blocked', 'china', 'blocked', 'china', 'get', 'that', 'any', 'others']"
2356,"['follow', 'friday', 'following', 'people', 'follower', 'follow', 'me', 'woot']"
2357,"['thats', 'helpful', 'at', 'know', 'you', 'have', 'got', 'place', 'secured', 'thing', 'do', 'not', 'pan', 'out', 'finger', 'cross']"
2358,"['u', 'kk', 'thank']"
2359,"['aww', 'that', 's', 'cut']"
2360,"['hi', 'i', 'teach', 'chinese', 'lesson', 'youtube', 'feel', 'free', 'look']"
2361,"['recording', 'acoustic', 'track', 'for', 'sexy', 'kid']"
2362,"['i', 'pee']"
2363,"['wow', 'now', 'your', 'kickin', 'carey', 's', 'butt', 'competition', 'see', 'soon']"
2364,"['oh', 'dear', 'hope', 'feeling', 'better', 'soon', 'nice', 'hot', 'chicken', 'soup', 'you']"
2365,"['i', 'know', 'load', 'left']"
2366,['morn']
2367,"['twitter', 'seat', 'exam', 'hall', 'start', 'min', 'pray', 'seat', 'mpsh', '1', 'a', 'blessed', 'oh', 'wisdom', 'flow', 'whe']"
2368,"['gorgeous', 'day', 'off', 'hash', 'waterley', 'bottom', 'wonderful', 'village', 'quiz', 'mistressing', 'porto', 'even']"
2369,"['another', 'lake', 'park', 'kid', 'going', 'tulane', 'i', 'am', 'unique', 'anymor']"
2370,"['welcome', 'glasgow', 'felix', 'sorry', 'i', 'tonight']"
2371,"['thats', 'thinking', 'time', 'it', 'is', 'gonna', 'am']"
2372,"['anywho', 'im', 'having', 'early', 'night', 'good', 'night', 'twitter', 'world']"
2373,"['im', 'getting', 'treatment', 'gonna', 'hang', 'pool', 'hot', 'tub']"
2374,"['since', 'travel', 'use', 'online', 'travel', 'site', 'love', 'feedback', 'ixigo', 'com']"
2375,"['good', 'stuff', 'smile', 'back', 'why', 'will', 'not', 'concert', 'too', 'wish', 'i', 'instead', 'working', 'music', 'failing', 'lol', 'x']"
2376,"['fault', 'didnt', 'u', 'leav']"
2377,"['happy', 'birthday', 'sorry', 'blank', 'sister', 'messed', 'up']"
2378,"['appreciation', 'lunch', 'work', 'good', 'food', 'but', 'suck', 'day', 'lol']"
2379,"['tgif', 'resto', 'home', 'dayuummm', 'expensive']"
2380,"['i', 'seriously', 'want', 'pug', 'buy', 'one']"
2381,"['just', 'finished', 'reading', 'chuck', 'palahniuk', 's', 'pygmy', 'kind', 'hated', 'it', 'i', 'am', 'disappointed', 'i', 'pretty', 'high', 'hope', 'one']"
2382,"['played', 'ball', 'park', 'coached', 'youngster', 'fundamental', 'goin', 'home', 'steak', 'lobster', 'word']"
2383,"['googled', 'mother', 'day', 'phew', 'u', 'uk', 'different', 'date', 'learn', 'new', 'day']"
2384,"['must', 'time', 'month', 'watering', 'eye', 'again', 'speciaal', 'voor', 'zo', 'vind', 'ik', 'ze', 'wl', 'leuk']"
2385,"['_x', 'butbutbuttt', 'replied', 'load']"
2386,"['riding', 'daddy', 's', 'bike', 'yes', 'man', 's', 'bike', 'convenient', 'not', 'dark', 'glass', 'on', 'scared', 'survived', 'haha']"
2387,"['very', 'upset', 'mom', 'hospit']"
2388,"['because', 'new', 'that', 's', 'why', 'because', 'new']"
2389,"['i', 'miss', 'nipissing', 'pita', 'good', 'thing', 'we', 'have', 'got', 'euphoria', 'barrie', 'because', 'i', 'survive', 'summer', 'pita', 'and', 'smoothy']"
2390,"['heyyyyy', 'english', 'fan', 'want', 'sign']"
2391,"['i', 'love', 'friend', 'drew', 'fun', 'tonight']"
2392,"['_j', 'think', 'so', 'think', 'ignored', 'good', 'day']"
2393,"['that', 'annoying', 'what', 'gear', 'it', 'i', 'will', 'hand']"
2394,"['hurt', 'heating', 'pad', 'it', 'stupid', 'ladder', 'y', 'collapse', 'fall', 'back', 'bum']"
2395,"['you', 're', 'person', 'ask', 'mon', 'afternoon', 'i', 'am', 'sorry', 'i', 'am', 'helping', 'tutor', 'friend', 'c1', 'c2']"
2396,"['im', 'going', 'bed', 'nighttt', 'nighttt', 'xxo', 'ily']"
2397,"['gonna', 'laundry', 'never', 'laundry', 'hotel', 'before', 'i', 'miss', 'r', 'even', 'ignore', 'check', 'me']"
2398,"['ewww', 'printed', 'new', 'i', 'd', 'badge', 'thingie', 'work', 'n', 'eww', 'picture', 'i', 'took', 'n', 'ugli']"
2399,"['bye', 'people']"
2400,"['thanks', 'ok', 'hope', 'tweet', 'road']"
2401,"['_a_michael', 'cute', 'thanks', 'sharing', 'and', 'please', 'direct', 'message', 'me', 'bed', 'james', 'know', 'want', 'to']"
2402,"['saw', 'ghost', 'girlfriend', 'past', 'bf', 'movie', 'predictable', 'funny', 'lov']"
2403,"['we', 'agree', 'you', 'guy', 'rock']"
2404,"['thanks', 'ill', 'cross', 'finger', 'you', 'rain', 'stop']"
2405,"['awake', 'am', 'cannot', 'sleep']"
2406,"['stocked', 'tonight']"
2407,"['good', 'morn']"
2408,"['having', 'problem', 'accessing', 'account', 'info', 'istore', 'buy', 'music', 'look', 'account']"
2409,"['frame', 'damage', 'car', 'total']"
2410,"['shopping', 'keswick']"
2411,"['rain', 'go']"
2412,"['_apuya', 'hey', 'hey', 'andrew', 'haha', 'happy', 'mother', 's', 'day', 'mum']"
2413,"['just', 'realized', 'arrested', 'public', 'disturbance', 'oh', 'i', 'll', 'chance']"
2414,"['want', 'boo', 'btw', 'love', 'fhnixon', 's', 'post', 'hilarious']"
2415,"['yeah', 'right', 'what', 'politician', 'start', 'uploading', 'pic', 'lot', 'inside', 'stori']"
2416,"['ugh', 'soooo', 'work', 'today', 'trying', '10', 'train', 'game', 'looking', 'like', '5', 'hour', 'sunday', 'office']"
2417,"['ur', 'leaving', 'week', 'know', 'dont', 'u', 'everyday', 'like', 'fact', 'ur', 'c']"
2418,"['had', 'fantastic', 'day', 'amazing', 'girl', 'just', 'wish', 'sara', 'did', 'not', 'home']"
2419,"['so', 'i', 'm', 'guessing', 'bgn']"
2420,"['ow', 'okay', 'it', 's', 'good', 'you', 'are', 'better', 'now']"
2421,"['_breannarose', 'fuuuuuuck', 'idk', 'andy', 'youuuu']"
2422,"['peter', 'bar', 'owner', 'working', 'way', 'beer', 'all', 'belgian', 'ha', 'coffin', 'drinker', 'mort', 'subit']"
2423,"['doesnt', 'look', 'good', 'burn', 'lampion']"
2424,"['my', 'mouth', 'hurt', 'wish', 'i', 'cut', 'head']"
2425,"['bacoor', 'wahaha', 'wifi', 'toinks', 'new', 'hair', 'wiih', 'short', 'short']"
2426,"['oh', 'did', 'not', 'work', 'bad', 'thing', 'eh', 'uk', 'eh']"
2427,"['blogging', 'it', 'is', 'new', 'pas']"
2428,"['i', 'am', 'sorry', 'are', 'not', 'having', 'good', 'day', 'cheer', 'though', 'day', 'doe', 'not', 'define', 'you']"
2429,"['no', 'i', 'checked', 'got', 'lol', 'you', 'ok', 'i', 'went', 'live', 'minute', 'fine']"
2430,"['trailer', 'removed', 'look']"
2431,"['dream', 'u', 'did', 'not', 'lik']"
2432,"['yes', 'i', 'am', 'want', 'meet']"
2433,"['sure', 'practice', 'hooping', 'today']"
2434,"['ugh', 'sick', 'this', 'calgary', 'cold', 'lasted', 'forever']"
2435,"['oh', 'coo', 'suppose', 'intern', 'too', 'dangit', 'sat', 'how', 'is', 'intern', 'life', 'haha']"
2436,"['tehe', 'it', 'th']"
2437,"['seeing', 'friend', 'coursework', 'i', 'weekend', 'work', 'i', 'happy']"
2438,"['ha', 'i', 'know', 'i', 'am', 'ashamed']"
2439,"['i', 'am', 'life', 'preserver', 'sorry', 'but', 'it', 'is', 'consolation', 'you', 'are', 'special', 'tomorrow']"
2440,"['california', 'waiting', 'little', 'thing', 's', 'gotta', 'right', 'putz', 'adoro', 'essa', 'banda']"
2441,"['mmmmm', 'hair', 'smell', 'guuud', 'wonder', 'pantien']"
2442,"['shopping', 'tomorrow', 'i', 'think', 'y']"
2443,"['yeah', 'sabrina', 'though', 'i', 'thinking', 'it', 'is', 'else', 'cary', 'grant', 'am', 'not', 'shabby', 'either', 'bringing', 'babi']"
2444,"['take', 'moment', 'translate', 'nod', 'you', 're', 'welcome', 'also', 'dear', 'it', 'is', 'probably', 'best', 'stay', 'again']"
2445,['thank']
2446,"['awww', 'i', 'told', 'i', 'change', 'it', 'i', 'suggest', 'try', 'touch', 'w', 'dre', 's', 'people', 'lol']"
2447,"['go', 'n', 'smirker', 'cheer', 'dave', 'aka', 'jak', 'aka', 'best', 'chest', 'ever']"
2448,"['lol', 'too']"
2449,"['thanks', '0', 'i', 'tri']"
2450,"['colleen', 'sincerely', 'hope', 'get', 'better', 'soon']"
2451,"['beer', 'pong', 'dubstep', 'good', 'nit']"
2452,"['i', 'uncontrolable', 'hic', 'ups', 'right', 'hurt']"
2453,"['stop', 'working', 'play']"
2454,"['im', 'going', 'wknd', 'sorry', 'took', 'forever', 'respond', 'realized', 'twitter', 'isnt', 'txting', 'ur', 'update']"
2455,"['think', 'so']"
2456,['go']
2457,"['_henrie', 'can', 'shoutout', 'holland', 'you', 'got', 'lot', 'fan', 'here']"
2458,"['watching', 'baby', 'snl', 'baby', 'look', 'greaaaaat']"
2459,"['mcfly', 'parody', 'chris', 'moyles']"
2460,"['brightens', 'the', 'week']"
2461,"['happy', 'imma', 'lovely', 'ladi']"
2462,"['watching', 'look', 'star', 'mom', 'lub', 'ah', 'c', 'heh']"
2463,"['oh', 'yah', 'angel', 'came', 'harrassed', 'tried', 'break', 'house', 'lol', 'burgen']"
2464,"['thnx', 'follow']"
2465,"['finished', 'emergency', 'neil', 'strauss', 'great', 'read', 'neil', 'congrats', 'miss', 'way']"
2466,"['not', 'feelin', 'right', 'hope', 'feeling', 'pass', 'stupid', 'stomach']"
2467,"['i', 'cannot', 'it', 'send', 'oh', 'tag', 'lol']"
2468,"['bad', 'time', 'whywhywhy', 'write', 'essay', 'no', 'fair']"
2469,"['think', 'end', 'remembering', 'poetry', 'feeling', 'far', 'important', 'name']"
2470,"['i', 'wish', 'i', 'drink', 'i', 'bad', 'night', 'white', 'wine', 'london', 'i', 'sick', 'week']"
2471,"['coming', 'sydney', 'cool', 'meet', 'you', 'id', 'love', 'meet', 'you', 'you', 'are', 'favourite', 'comedian']"
2472,"['happy', 'mother', 'day', 'mom']"
2473,"['_song', 'glad', 'wondrous', 'beltaine', 'mine', 'quiet', 'sync', 'season', 'miss', 'all']"
2474,"['adem', 'in', 'adem', 'uit']"
2475,"['i', 'do', 'not', 'vcr']"
2476,"['stephen', 'king', 'fo', 'sho']"
2477,"['finally', 'friday', 'grounded', 'till', 'thursday', 'stereo', 'life', '333']"
2478,"['no', 'tourney', 'til', 'weekend']"
2479,"['mcfly', 'evolution', 'th', 'time', 'round']"
2480,"['hanging', 'weekend']"
2481,"['joined', 'twitter', 'reeeally', 'dont', 'understand', 'use', 'lol']"
2482,"['omg', 'patron', 'ofmy', 'favs', 'im', 'jealous', 'icant', 'im', 'alabama', 'visitin', 'fam']"
2483,"['have', 'decided', 'i', 'cannot', 'stand', 's', 'alltop', 'spam', 'longer']"
2484,"['you', 'welcome', 'you', 'deserve', 'day']"
2485,"['oh', 'man', 'sold', 'step', 'away', 'desk', 'min', 'right']"
2486,"['happy', 'mother', 's', 'day', 'all', 'mom', 's', 'here', 'your', 'mom']"
2487,"['wow', 'weather', 'amazing', 'today']"
2488,"['fun', 'i', 'like', 'beach', 'i', 'tend', 'dark', 'fast']"
2489,"['bahah', 'funny', 'cut', 'haha']"
2490,"['really', 'mad', 'forgetting', 'may', 'deadline', 'mile', 'award', 'trip', 'south', 'america']"
2491,['lurveeeee']
2492,"['so', 'proud', 'cg', 'took', 'yr', 'making', 'number', 'spot', 'gnight', 'twitter', 'bug', 'time', 'read', 'sleep']"
2493,"['hey', 'you', 'did', 'present', 'morning', 'hope', 'u', 'liked', 'it']"
2494,"['saimee', 'july', 'underage', 'festival', 'august', 'far', 'away']"
2495,"['i', 'want', 'this', 'but']"
2496,"['ha', 'reject']"
2497,"['finally', 'school', 'day', 'ended', 'friday', 'friday', 'friday', 'w00t', 'but', 'it', 'is', 'raining', 'outside']"
2498,"['no', 'joke', 'puppy', 'maddie', 'look', 'exactly', 'like', 'maui', 'she', 'is', 'cute']"
2499,"['the', 'kid', 'awesome', 'today', 'they', 'loved', 'face', 'painting']"
2500,"['almost', 'time', 'good', 'bye', 'twimulations', 'i', 'will', 'miss', 'tweep']"
2501,"['hey', 'arthur', 'forgot', 'thanks', 'flag', 'proudly', 'displayed', 'bedroom', 'door', 'witti']"
2502,"['downloaded', 'eeecontrol', 'eee', 'pc', 'today', 'wa', 'playing', 'setting', 'fan', 'kick', 'rpm', 'c', 'rpm', 'under']"
2503,"['congrats', 'mollie', 'wish', 'got', 'ticket']"
2504,"['right', 'here', 'army', 'wife', 'germany', 'i', 'cannot', 'stand', 'i', 'summer']"
2505,"['oh', 'i', 'wanted', 'sea', 'today', 'sun', 'here', 'sigh']"
2506,"['it', 'is', 'good', 'mix', 'developer', 'content', 'developer', 'provider', 'venture', 'folk']"
2507,['done']
2508,"['deep', 'fry', 'drumstick', 'good', 'thought']"
2509,"['awesome', 'run', 'report', 'did', 'bald', 'eagle', 'lighthouse', 'that', 'hangout', 'i', 'ran', 'discovery', 'park']"
2510,"['lol', 'thanks', 'babe']"
2511,"['this', 'weather', 'awful', 'i', 'want', 'curl', 'read', 'book', 'day']"
2512,"['_lipz', 'i', 'do', 'not', 'know', 'i', 'have', 'not', 'heard', 'lorraine', 'recently']"
2513,"['is', 'going', 'sleep', 'good', 'night', 'everyone']"
2514,"['_and_jay', 'hi', 'job']"
2515,"['laughing', 'got', 'strawberry']"
2516,"['i', 'am', 'cooking', 'meatball', 'lunch', 'yaaayyy']"
2517,"['no', 'tango', 'icon', 'revision']"
2518,"['know', 'i', 'watch', 'prison', 'break', 'tv', 'movie', 'it', 's', 'itun']"
2519,"['she', 'is', 'la', 'wanting', 'sun', 'today', 'apparently', 'la', 'is', 'not', 'cooper']"
2520,"['sittin', 'd', 'bed', 'fall', 'asleep']"
2521,"['watch', 'jay', 'leno', 'tonite', 'it', 's', 'day', 'tonight', 'show', 'host']"
2522,"['responding', 'question', 'thou', 'shall', 'blog', 'i', 'appreciate', 'community']"
2523,"['i', 'knowww', 'yur', 'mother', 'doe', 'not', 'want', 'movie']"
2524,"['learned', 'lesson', 'hard', 'way', 'lost', 'usb', 'stick', 'backup', 'month', 'old']"
2525,"['michael', 'scholfield', 'more', 'he', 'dead', 'i', 'sorri']"
2526,['want']
2527,"['i', 'ok', 'i', 'drs', 'today', 'got', 'essay', 'x', 'howre', 'you', 'x']"
2528,"['going', 'forgo', 'pub', 'night', 'wife', 'tonight', 'tough', 'week', 'it', 'plus', 'neighbor', 'di']"
2529,"['love', 'youuuuu', 'nick', 'santino', 'thirteen', 'days']"
2530,"['cant', 'believe', 'venus', 'lost', 'a', 'real', 'shame', 'smh', 'i', 'think', 'im', 'getting', 'sick', 'had', 'week', 'doesnt', 'look', 'like', 'wknd', 'gona', 'better']"
2531,"['sittin', 'home', 'watchin', 'monster', 'in', 'law', 'waitin', 'pizza', 'yum', 'yum']"
2532,"['i', 'hope', 'i', 'job', 'i', 'steady', 'income', 'start', 'eating', 'again', 'all', 'cheap', 'food', 'horr']"
2533,"['i', 'wish', 'i', 'bed', 'while', 'i', '4', 'a', 'm', 'doing', 'much']"
2534,"['seriously', 'increasingly', 'good', 'night', 'stoked', 'life', 'could', 'not', 'happi']"
2535,"['spent', 'night', 'finally', 'relaxing', 'nogard', 'wow', 'finishing', 'work', 'needed', 'small', 'break', 'art', 'i', 'miss']"
2536,"['i', 'm', 'hear', 'ya', 'dude', 'cannot']"
2537,"['sorry', 'weather', 'hopefully', 'you', 'are', '3', 'hour', 'wx', 'delay', 'bwi']"
2538,"['supernatural', 'good', 'loved', 'it']"
2539,"['sorry', 'bit', 'negative']"
2540,"['yes', 'i', 'do', 'because', 'going', 'marine', 'protect', 'serve', 'leaving', 'me']"
2541,"['school', 'trip', 'phuket', 'thailand', 'i', 'living', 'singapor']"
2542,"['cereal', 'usually', 'like']"
2543,"['haha', 'cute', 'p', 'thanks', 'reply', 'day', 'haha']"
2544,"['i', 'slept', 'yesterday']"
2545,"['now', 'unpleasant', 'talk', 'w', 'n', 'law', 'look', 'ward']"
2546,"['eh', 'but', 'i', 'will', 'picking', 'cotton', 'soon', 'need', 'suppliment', 'incom']"
2547,"['i', 'am', 'sure', 'people', 'hangover', 'glad', 'know', 'i', 'am', 'hangover', 'free', 'hope', 'you', 'are', 'fragile', 'morning']"
